PL_id,home_team,away_team
8073,Everton,Swansea City
8074,Fulham,Wigan Athletic
8075,Norwich City,Newcastle United
8076,Queens Park Rangers,Tottenham Hotspur
8077,Reading,West Bromwich Albion
8078,Stoke City,Chelsea
8079,Sunderland,West Ham United
8080,Arsenal,Manchester City
8081,Manchester United,Liverpool
8082,Chelsea,Southampton
8083,Liverpool,Norwich City
8084,Manchester City,Fulham
8085,Newcastle United,Reading
8086,Swansea City,Stoke City
8087,West Bromwich Albion,Aston Villa
8088,West Ham United,Queens Park Rangers
8089,Wigan Athletic,Sunderland
8091,Tottenham Hotspur,Manchester United
8092,Southampton,Everton
8093,Arsenal,West Ham United
8090,Chelsea,Arsenal
8094,Aston Villa,Newcastle United
8095,Queens Park Rangers,Manchester City
8096,Stoke City,Wigan Athletic
8097,Sunderland,Swansea City
8098,Arsenal,Liverpool
8099,Everton,West Bromwich Albion
8100,Fulham,West Ham United
8101,Manchester United,Southampton
8102,Norwich City,Tottenham Hotspur
8103,Reading,Chelsea
8104,Arsenal,Stoke City
8106,Fulham,Manchester United
8107,Newcastle United,Chelsea
8108,Queens Park Rangers,Norwich City
8109,Reading,Sunderland
8110,West Ham United,Swansea City
8111,Wigan Athletic,Southampton
8112,Manchester City,Liverpool
8113,West Bromwich Albion,Tottenham Hotspur
8105,Everton,Aston Villa
8114,Chelsea,Wigan Athletic
8115,Norwich City,Fulham
8116,Southampton,Manchester City
8117,Stoke City,Reading
8119,Swansea City,Queens Park Rangers
8120,Tottenham Hotspur,Newcastle United
8121,Aston Villa,West Ham United
8122,Manchester United,Everton
8123,Liverpool,West Bromwich Albion
8124,Liverpool,Swansea City
8118,Sunderland,Arsenal
8125,Arsenal,Aston Villa
8126,Fulham,Stoke City
8127,Norwich City,Everton
8128,Queens Park Rangers,Manchester United
8129,Reading,Wigan Athletic
8130,West Bromwich Albion,Sunderland
8131,Manchester City,Chelsea
8132,Newcastle United,Southampton
8133,West Ham United,Tottenham Hotspur
8134,Chelsea,West Bromwich Albion
8135,Everton,Reading
8136,Manchester United,Norwich City
8137,Southampton,Queens Park Rangers
8138,Stoke City,West Ham United
8139,Sunderland,Fulham
8140,Swansea City,Newcastle United
8141,Wigan Athletic,Liverpool
8142,Tottenham Hotspur,Arsenal
8143,Aston Villa,Manchester City
8144,Norwich City,Southampton
8145,Queens Park Rangers,Sunderland
8146,Reading,Aston Villa
8147,West Bromwich Albion,Swansea City
8148,Liverpool,Tottenham Hotspur
8149,Newcastle United,Stoke City
8150,Aston Villa,Queens Park Rangers
8151,Everton,Manchester City
8152,Manchester United,Reading
8153,Southampton,Liverpool
8154,Stoke City,West Bromwich Albion
8155,Swansea City,Arsenal
8156,Chelsea,West Ham United
8157,Sunderland,Norwich City
8158,Tottenham Hotspur,Fulham
8159,Wigan Athletic,Newcastle United
8160,Arsenal,Reading
8161,Everton,Stoke City
8162,Manchester City,Newcastle United
8163,Southampton,Chelsea
8164,Sunderland,Manchester United
8165,Swansea City,Tottenham Hotspur
8166,West Ham United,West Bromwich Albion
8167,Wigan Athletic,Norwich City
8168,Aston Villa,Liverpool
8169,Fulham,Queens Park Rangers
8170,Norwich City,Swansea City
8171,Reading,Southampton
8172,Stoke City,Aston Villa
8173,West Bromwich Albion,Arsenal
8174,Chelsea,Sunderland
8175,Liverpool,West Ham United
8176,Newcastle United,Fulham
8177,Queens Park Rangers,Wigan Athletic
8178,Tottenham Hotspur,Everton
8179,Manchester United,Manchester City
8180,Arsenal,Norwich City
8181,Aston Villa,Fulham
8182,Everton,Queens Park Rangers
8183,Reading,Liverpool
8184,Southampton,West Ham United
8185,Newcastle United,Sunderland
8186,Stoke City,Manchester United
8187,Arsenal,Everton
8188,Fulham,Chelsea
8189,Manchester City,Wigan Athletic
8190,West Ham United,Manchester United
8191,Fulham,Arsenal
8192,Norwich City,Reading
8193,Queens Park Rangers,Stoke City
8194,Sunderland,Everton
8195,Swansea City,Southampton
8196,West Bromwich Albion,Newcastle United
8197,West Ham United,Wigan Athletic
8198,Liverpool,Chelsea
8199,Tottenham Hotspur,Manchester City
8200,Manchester United,Aston Villa
8201,Everton,Fulham
8202,Manchester City,West Ham United
8203,Newcastle United,Liverpool
8204,Southampton,West Bromwich Albion
8205,Stoke City,Norwich City
8206,Wigan Athletic,Tottenham Hotspur
8207,Arsenal,Manchester United
8208,Chelsea,Swansea City
8209,Reading,Queens Park Rangers
8210,Aston Villa,Sunderland
8211,Fulham,Reading
8212,Norwich City,Aston Villa
8213,Queens Park Rangers,Arsenal
8214,Swansea City,Manchester City
8215,Tottenham Hotspur,Southampton
8216,West Bromwich Albion,Wigan Athletic
8217,West Ham United,Newcastle United
8218,Liverpool,Everton
8219,Manchester United,Chelsea
8220,Sunderland,Stoke City
8221,Manchester City,West Bromwich Albion
8222,Wigan Athletic,Swansea City
8223,Chelsea,Tottenham Hotspur
8224,Aston Villa,Chelsea
8225,Everton,West Ham United
8226,Fulham,Liverpool
8227,Manchester United,Swansea City
8228,Norwich City,West Bromwich Albion
8229,Queens Park Rangers,Newcastle United
8230,Stoke City,Tottenham Hotspur
8231,Sunderland,Southampton
8232,Arsenal,Wigan Athletic
8233,Reading,Manchester City
8234,Chelsea,Everton
8235,Liverpool,Queens Park Rangers
8236,Manchester City,Norwich City
8237,Newcastle United,Arsenal
8238,Southampton,Stoke City
8239,Swansea City,Fulham
8240,Tottenham Hotspur,Sunderland
8241,West Bromwich Albion,Manchester United
8242,West Ham United,Reading
8243,Wigan Athletic,Aston Villa
9231,Arsenal,Aston Villa
9232,Liverpool,Stoke City
9233,Norwich City,Everton
9234,Sunderland,Fulham
9235,Swansea City,Manchester United
9236,West Bromwich Albion,Southampton
9237,West Ham United,Cardiff City
9238,Chelsea,Hull City
9239,Crystal Palace,Tottenham Hotspur
9240,Manchester City,Newcastle United
9241,Chelsea,Aston Villa
9242,Aston Villa,Liverpool
9243,Everton,West Bromwich Albion
9244,Fulham,Arsenal
9245,Hull City,Norwich City
9246,Newcastle United,West Ham United
9247,Southampton,Sunderland
9248,Stoke City,Crystal Palace
9249,Cardiff City,Manchester City
9250,Tottenham Hotspur,Swansea City
9251,Manchester United,Chelsea
9252,Cardiff City,Everton
9254,Manchester City,Hull City
9255,Newcastle United,Fulham
9256,Norwich City,Southampton
9257,West Ham United,Stoke City
9258,Arsenal,Tottenham Hotspur
9259,Liverpool,Manchester United
9260,West Bromwich Albion,Swansea City
9253,Crystal Palace,Sunderland
9261,Aston Villa,Newcastle United
9262,Everton,Chelsea
